"Timestamp","¿Cuál es su edad?","¿Cuál es su género?","¿Con qué frecuencia utiliza redes sociales en general? ","¿Utiliza TikTok?","¿Cuántas horas diarias dedica aproximadamente a ver contenido en TikTok?","¿Con qué frecuencia ve contenido relacionado con productos (reseñas, unboxing, tendencias)? ","¿Ha descubierto productos a través de TikTok? ","Me preocupa perderme experiencias o tendencias populares en redes sociales. ","Siento la necesidad de estar al día con lo que otros consumen o recomiendan. ","Me incomoda no saber qué productos o tendencias están de moda. ","Suelo revisar redes sociales para no perderme novedades. ","Cuando veo que algo se vuelve viral, siento curiosidad por probarlo. ","Me siento más atraído/a por productos que parecen limitados o exclusivos. ","Si un producto está a punto de agotarse, me dan más ganas de comprarlo. ","Las ediciones limitadas me resultan más interesantes que los productos normales. ","Siento urgencia por comprar cuando veo que algo es difícil de conseguir. ","Percibo que algunos productos en redes sociales están disponibles por tiempo limitado. ","He comprado productos sin planificarlo después de verlos en redes sociales. ","A veces compro cosas porque están de moda, aunque no las necesite. ","Me dejo llevar por el momento cuando veo productos atractivos online. ","He comprado productos por miedo a que se agoten o desaparezcan. ","TikTok influye en mis decisiones de compra. ","Confío en las recomendaciones de productos que veo en TikTok. ","He comprado productos específicamente por haberlos visto en TikTok. ","¿Ha comprado algún producto en los últimos 3 meses debido a TikTok? ","¿Con qué frecuencia compra productos influenciado/a por TikTok? ",""
"2026/04/23 5:11:36 pm EET","18-21","Femenino","Varias veces al día","Sí","30 min – 1 hora","Rara vez","Sí","3","1","1","1","1","4","1","3","2","2","2","1","1","2","1","1","1","No","Nunca","1"
"2026/04/23 5:15:09 pm EET","22-25","Femenino","Varias veces al día","Sí","1–2 horas","A veces","No","3","4","4","4","3","2","3","4","2","3","4","4","3","4","2","2","2","Sí","A veces","2"
"2026/04/23 5:16:15 pm EET","18-21","No binario / Otro","Varias veces al día","Sí","1–2 horas","Rara vez","No","1","1","1","3","1","1","1","1","3","1","1","1","1","1","1","1","1","No","Nunca","1"
"2026/04/23 5:20:48 pm EET","18-21","Masculino","Varias veces al día","Sí","1–2 horas","Rara vez","Sí","1","1","1","1","1","3","1","2","1","1","3","1","1","1","2","2","3","Sí","Rara vez","2"
"2026/04/23 5:59:14 pm EET","26-30","Femenino","Varias veces al día","Sí","Menos de 30 minutos","Rara vez","No","3","2","2","3","4","4","2","2","1","2","3","2","2","1","1","1","1","No","Nunca","1"
"2026/04/23 6:02:52 pm EET","18-21","Femenino","Varias veces al día","Sí","30 min – 1 hora","A veces","Sí","1","2","1","3","2","1","2","4","4","4","2","1","1","1","1","3","3","No","Nunca","1"
"2026/04/23 6:04:58 pm EET","22-25","Femenino","Varias veces al día","Sí","1–2 horas","A veces","No","2","2","1","3","3","1","2","3","2","5","2","1","2","1","1","1","1","No","Rara vez","1"
"2026/04/23 6:07:51 pm EET","18-21","Masculino","Varias veces al día","Sí","30 min – 1 hora","A veces","Sí","1","1","1","1","1","1","1","1","1","1","3","2","1","1","1","1","2","No","Nunca","1"
"2026/04/23 6:07:59 pm EET","22-25","Femenino","Varias veces al día","Sí","1–2 horas","A veces","Sí","1","1","1","2","4","3","2","1","1","4","1","2","1","3","2","4","3","No","Rara vez","2"
"2026/04/23 6:47:30 pm EET","22-25","Femenino","Varias veces al día","Sí","1–2 horas","Muy frecuentemente","Sí","4","3","3","3","4","2","4","1","2","2","1","1","1","1","4","2","4","No","Rara vez","2"
